Fast Food Restaurant,Type,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g),Protein (g)
McDonald's,Burger,98,240,8,3,0,480,32,6,12
McDonald's,Burger,113,290,11,5,0.5,680,33,7,15
McDonald's,Burger,211,530,27,10,1,960,47,9,24
McDonald's,Burger,202,520,26,12,1.5,1100,41,10,30
McDonald's,Burger,270,720,40,15,1.5,1470,51,14,39
McDonald's,Burger,283,750,43,19,2.5,1280,42,10,48
McDonald's,Milkshake,257,530,15,10,1,160,86,63,11
McDonald's,Breaded Chicken Sandwich,213,510,22,3.5,0,990,55,10,24
McDonald's,Grilled Chicken Sandwich,200,350,9,2,0,820,42,8,28
McDonald's,Chicken Nuggets,65,190,12,2,0,360,12,0,9
McDonald's,French Fries,75,230,11,1.5,0,130,30,0,2
Burger King,Burger,93,220,8,3,0.5,380,26,6,11
Burger King,Burger,104,270,12,5,0.5,560,27,7,13
Burger King,Burger,260,630,38,11,1.5,810,49,11,26
Burger King,Burger,279,750,49,16,2,1260,46,8,33
Burger King,Burger,341,850,54,18,2.5,870,49,11,43
Burger King,Burger,327,1040,69,28,2.5,1900,48,10,57
Burger King,Milkshake,343,610,16,10,0,500,103,88,14
Burger King,Breaded Chicken Sandwich,248,660,40,7,0,1220,49,7,26
Burger King,Grilled Chicken Sandwich,217,420,18,3,0,700,35,6,32
Burger King,Chicken Nuggets,58,170,11,1.5,0,310,11,0,8
Burger King,French Fries,128,320,14,2.5,0,480,44,0,4
Wendy's,Burger,102,250,10,4,1,600,25,5,14
Wendy's,Burger,113,290,13,6,1,800,26,6,16
Wendy's,Burger,247,580,31,13,2,1220,42,10,30
Wendy's,Burger,329,820,47,20,3,1510,42,10,48
Wendy's,Burger,423,1090,66,29,4,1990,43,11,69
Wendy's,Burger,295,940,56,23,3,1890,41,9,57
Wendy's,Burger,211,670,37,15,2,1670,41,9,38
Wendy's,Milkshake,342,580,13,8,1,250,104,93,11
Wendy's,Breaded Chicken Sandwich,247,510,20,4,0,1200,54,8,29
Wendy's,Grilled Chicken Sandwich,231,370,7,2,0,880,43,9,34
Wendy's,Chicken Nuggets,60,180,12,3,0,350,10,0,9
Wendy's,French Fries,108,310,15,3,0,330,40,0,4
Chick-fil-A,Grilled Chicken Sandwich,193,270,3.5,1,0,940,33,7,28
Chick-fil-A,Breaded Chicken Sandwich,170,410,16,3.5,0,1300,38,5,28
Chick-fil-A,Chicken Nuggets,57,130,6,1,0,545,6,1.5,13
Chick-fil-A,French Fries,85,280,14,5,1,105,37,0,3
Chick-fil-A,Milkshake,418,560,22,13,0,380,82,79,12
Jack in the Box,Burger,105,280,11,4,0.5,680,32,5,14
Jack in the Box,Burger,106,320,14,6,1,880,32,6,16
Jack in the Box,Burger,218,490,23,8,1.5,910,44,7,26
Jack in the Box,Burger,284,910,56,24,3,2190,44,7,57
Jack in the Box,Burger,181,560,30,12,1.5,1170,43,6,29
Jack in the Box,Burger,153,470,19,7,1,920,33,6,16
Jack in the Box,Burger,370,1030,71,23,2.5,1990,52,9,41
Jack in the Box,Burger,223,660,41,15,1.5,1450,40,8,35
Jack in the Box,Milkshake,376,800,38,26,1.5,300,101,88,13
Jack in the Box,Breaded Chicken Sandwich,147,410,21,3.5,0,880,42,4,15
Jack in the Box,Grilled Chicken Sandwich,261,540,26,7,0,1490,38,6,39
Jack in the Box,Chicken Nuggets,77,240,17,2,0,600,13,0,9
Jack in the Box,French Fries,107,330,15,1.5,0,610,45,0,4
Sonic,Burger,113,330,17,6,0.5,480,30,3,15
Sonic,Burger,131,390,23,9,0.5,810,31,3,19
Sonic,Burger,265,650,37,14,1.5,840,46,10,31
Sonic,Burger,396,1240,87,35,3.5,1690,44,8,67
Sonic,Burger,278,820,54,20,2,1260,43,7,39
Sonic,Burger,304,710,43,17,1.5,1120,43,8,35
Sonic,Milkshake,387,670,31,23,0,330,89,56,8
Sonic,Breaded Chicken Sandwich,244,580,29,4.5,0,900,57,7,28
Sonic,Grilled Chicken Sandwich,257,450,17,2,0,1240,44,7,32
Sonic,Chicken Nuggets,114,380,22,4,0,1260,27,1,18
Sonic,French Fries,80,250,12,2,0,260,33,0,3
Dairy Queen,Burger,156,380,19,8,1,920,34,8,21
Dairy Queen,Burger,227,520,28,11,1,1110,43,10,25
Dairy Queen,Burger,193,560,33,12,1,890,39,5,27
Dairy Queen,Burger,313,770,46,20,1.5,1410,43,10,45
Dairy Queen,Burger,226,580,34,16,1.5,1240,35,9,37
Dairy Queen,Burger,243,620,36,14,1,1320,41,9,34
Dairy Queen,Milkshake,373,550,19,14,0.5,220,82,71,13
Dairy Queen,Breaded Chicken Sandwich,198,610,30,3.5,0,1120,50,5,22
Dairy Queen,Grilled Chicken Sandwich,194,360,16,2.5,0,1040,32,6,26
Dairy Queen,Chicken Nuggets,128,350,20,3,0,960,22,0,22
Dairy Queen,French Fries,142,380,17,2.5,0,790,54,0,4
Carl's Jr.,Burger,130,302,12,4.8,0,569,33.6,5.6,17.7
Carl's Jr.,Burger,144,351,15.9,7.5,0,733,34.2,5.8,20.5
Carl's Jr.,Burger,277,591,43.7,14.1,0.4,1143,54,9.9,29.7
Carl's Jr.,Burger,390,930,56,23,2,1540,59,14,48
Carl's Jr.,Burger,250,750,35,14,1,1650,75,16,36
Carl's Jr.,Burger,316,630,29,11,1,1070,65,20,28
Carl's Jr.,Burger,321,920,68,23,2,1380,56,12,47
Carl's Jr.,Burger,416,1020,70,27,3.5,1760,59,19,39
Carl's Jr.,Milkshake,397,700,36,24,1.5,300,84,59,12
Carl's Jr.,Breaded Chicken Sandwich,207,493,23.2,2.7,0.1,1287,43.2,0.4,26.7
Carl's Jr.,Grilled Chicken Sandwich,203,398,30.5,9.5,0.4,1216,36.2,5.7,28.9
Carl's Jr.,Chicken Nuggets,93,220,11.1,1.6,0.1,859,9.5,0.2,20.6
Carl's Jr.,French Fries,105,304,14.7,2.7,0.1,610,39.4,0.3,3.4
Hardee's,Burger,195,500,22,5,,1080,61,7,16
Hardee's,Burger,207,550,26,6,,1300,61,7,18
Hardee's,Burger,358,820,43,16,,1660,56,15,32
Hardee's,Burger,424,1030,70,24,,2240,57,16,45
